ISIN;Date 
;03/02/2022
;29/09/2022
GB00B6XZKY75;25/08/2022
GB00B6XZKY75;25/08/2022
GB00B6XZKY75;25/08/2022
GB00B6XZKY75;25/08/2022
GB00B6XZKY75;25/08/2022
;08/12/2022
;08/12/2022
;08/12/2022
;14/07/2022
;14/07/2022
;14/07/2022
AT0000720008;17/09/2020
AT0000720008;17/09/2020
IT0001233417;26/03/2020
IT0001233417;26/03/2020
IT0001233417;26/03/2020
;30/06/2022
;21/07/2022
;16/07/2020
;24/03/2022
BE0974293251;23/01/2020
BE0974293251;23/01/2020
BE0974293251;23/01/2020
NO0003573016;24/06/2021
NO0003573016;24/06/2021
NO0003573016;24/06/2021
NO0003573016;24/06/2021
NO0003573016;24/06/2021
CH0012221716;03/06/2021
CH0012221716;03/06/2021
US0028241000;29/09/2022
US0028241000;29/09/2022
;16/06/2022
;16/06/2022
;15/09/2022
;15/09/2022
DE000A3CNK42;22/04/2021
DE000A3CNK42;22/04/2021
DE000A3CNK42;22/04/2021
DE000A3CNK42;22/04/2021
;12/12/2019
;12/12/2019
;21/07/2022
;21/07/2022
;21/07/2022
INE012A01025;12/08/2021
INE012A01025;12/08/2021
IE00B4BNMY34;17/12/2018
IE00B4BNMY34;17/12/2018
IE00B4BNMY34;17/12/2018
ES0125220311;19/12/2019
ES0125220311;19/12/2019
FR0000120404;11/03/2021
FR0000120404;11/03/2021
;05/05/2022
;26/05/2022
;11/01/2022
;11/01/2022
;11/01/2022
;03/11/2022
;03/11/2022
;21/10/2021
;22/09/2022
DE000A1EWWW0;22/04/2021
DE000A1EWWW0;22/04/2021
IE00BD845X29;24/11/2022
IE00BD845X29;24/11/2022
;28/07/2022
US00724F1012;04/02/2021
US00724F1012;04/02/2021
US00724F1012;04/02/2021
DE0005103006;04/02/2021
DE0005103006;04/02/2021
DE0005103006;04/02/2021
DE0005103006;04/02/2021
DE0005103006;04/02/2021
;17/11/2022
US0079031078;27/06/2016
US0079031078;27/06/2016
US0079031078;27/06/2016
US0079031078;27/06/2016
TW0002395001;29/07/2021
TW0002395001;29/07/2021
JP3122400009;03/02/2022
JP3122400009;03/02/2022
US00766T1007;19/05/2022
US00766T1007;19/05/2022
US00766T1007;19/05/2022
US00766T1007;19/05/2022
US00766T1007;19/05/2022
US00766T1007;05/03/2020
US00766T1007;05/03/2020
JP3388200002;12/08/2021
JP3388200002;12/08/2021
SE0005999836;19/05/2022
SE0005999836;19/05/2022
SE0005999836;19/05/2022
NO0010895378;18/03/2021
NO0010895378;18/03/2021
;25/02/2021
;07/07/2022
;07/07/2022
;01/12/2022
;01/12/2022
;01/12/2022
