,Date,S&P/ASX 200 ,Austrian Traded Index,BEL 20 Index,S&P/TSX 60 INDEX,S&P/CLX IGPA (CLP) Index,Colombia Price Index,OMXC 25 CAP Index,OMX Helsinki,IBEX 35 Index,Budapest SE Index,Athex,OMX Iceland,ISEQ,FTSE,TOPIX ,LuxX Index,OMX Vilnius,Oslo Stock Exchange Equity Index,S&P/Bmv Ipc, Lisbon PSI Index,Amsterdam,Swiss Market Index,OMX Stockholm,PX Prague,FTSE 100 Index,Shanghai SE 50,BIST 100 Index,SBF 120 - PRICE INDEX,DAX PERFORMANCE - PRICE INDEX,S&P 500 VALUE - PRICE INDEX
0,10/10/2013,5147.1,2514.12,2843.24,741.59,18804.09,1181.12,,6889.58,9660.5,18679.38,1124.28,777.99,4263.6,18836.79,1177.95,1287.88,418.75,462.07,40489.95,6066.3,373.91,7851.08,1260.52,965.98,6430.49,1637.93,756.4,3258.78,8685.77,783.53
1,11/10/2013,5230.9,2511.77,2830.66,741.33,18876.65,1185.25,,6866.86,9668.5,18638.17,1109.2,779.0,4253.68,18882.63,1197.17,1296.93,420.77,462.35,40975.37,6184.7,376.11,7936.08,1266.39,963.1,6487.19,1669.27,761.76,3262.22,8724.83,788.45
2,14/10/2013,5207.9,2519.51,2832.57,,18939.92,1187.12,,6858.2,9696.0,18550.87,1119.36,777.76,4269.99,18917.67,,1304.59,419.22,464.07,40882.09,6245.04,376.27,7928.49,1258.72,966.5,6507.65,1662.17,762.35,3260.71,8723.81,790.57
3,15/10/2013,5259.1,2547.67,2873.8,743.63,18975.76,1189.18,,6945.77,9805.3,18713.54,1119.99,780.3,4322.18,18999.22,1197.47,1331.9,419.66,469.94,40218.32,6281.74,381.95,7984.35,1265.46,976.26,6549.11,1656.26,,3283.88,8804.44,784.65
4,16/10/2013,5262.9,2546.06,2893.07,744.82,18994.36,1194.76,,6976.52,9879.0,18420.61,1125.02,773.49,4356.22,19275.04,1196.78,1332.69,417.96,469.98,40355.27,6331.92,383.33,7981.87,1266.01,981.77,6571.59,1634.22,,3273.59,8846.0,795.96
5,17/10/2013,5283.1,2547.75,2880.31,748.38,18848.13,1196.07,,6970.51,9918.0,18456.14,1138.9,776.08,4354.14,19198.1,1206.25,1329.44,419.31,470.81,40199.47,6340.2,382.51,8032.4,1266.91,979.27,6576.16,1627.18,,3273.26,8811.98,801.31
6,18/10/2013,5321.5,2572.86,2895.12,754.4,18961.66,1201.2,,7034.12,10001.8,18547.65,1166.0,778.44,4392.4,19271.02,1205.52,1332.03,418.46,475.72,40412.69,6346.2,385.73,8084.65,1283.9,989.08,6622.58,1636.8,,3310.3,8865.1,804.75
7,21/10/2013,5351.8,2574.18,2903.37,757.36,19143.68,1196.74,,7059.68,10037.8,18786.57,1196.84,779.59,4401.06,19262.69,1212.36,1347.25,417.08,481.13,40345.78,6401.31,388.28,8124.08,1288.55,996.79,6654.2,1657.58,788.77,3306.22,8867.22,804.73
8,22/10/2013,5373.1,2565.78,2908.92,760.16,19163.01,1194.61,,7025.08,10012.9,18658.1,1202.27,780.87,4391.89,19371.93,1214.44,1340.26,417.45,484.97,40813.48,6347.41,390.19,8214.76,1300.23,998.0,6695.66,1640.07,792.72,3317.13,8947.46,809.78
9,23/10/2013,5356.1,2551.94,2896.48,761.4,19297.81,1193.27,,6990.57,9828.3,,1156.36,786.04,4370.11,18910.68,1195.98,1330.88,417.91,483.72,40552.59,6247.72,388.56,8214.56,1291.62,989.61,6674.48,1638.5,785.16,3293.45,8919.86,804.73
10,24/10/2013,5372.9,2550.38,2905.88,765.9,19210.94,1195.29,,6993.03,9915.4,18756.72,1174.41,796.46,4354.4,19152.93,1203.35,1336.12,417.85,489.28,40246.73,6231.81,390.21,8233.15,1298.6,990.8,6713.18,1621.6,788.46,3303.26,8980.63,806.78
11,25/10/2013,5386.3,2541.37,2885.77,769.95,19102.57,1196.55,,6981.8,9815.5,18849.45,1190.52,800.53,4331.61,18874.75,1178.28,1333.1,417.88,494.21,40671.61,6149.39,389.19,8249.31,1290.63,990.78,6721.34,1611.52,792.72,3300.41,8985.74,810.17
12,28/10/2013,5441.4,2537.8,2879.19,768.27,19125.46,1186.3,,6969.57,9736.2,18717.05,,805.82,4325.96,18829.42,1198.36,1321.86,417.47,491.27,41125.02,6196.33,388.8,8291.1,1288.42,,6725.82,1610.69,795.65,3283.87,8978.65,811.25
13,29/10/2013,5415.5,2566.71,2903.83,773.28,19091.68,1189.63,,7051.4,9863.9,18780.68,1165.98,810.46,4325.46,19256.9,1193.5,1331.23,417.62,494.27,41284.38,6235.14,391.13,8237.03,1290.78,1017.29,6774.73,1633.72,,3303.98,9022.04,816.05
14,30/10/2013,5430.9,2611.27,2882.35,774.04,19242.04,1184.02,,7121.93,9778.7,18823.24,1173.3,813.03,4356.59,19166.93,1204.5,1327.08,416.49,492.76,41050.09,6314.87,391.2,8228.37,1291.14,1017.1,6777.7,1653.42,789.19,3301.4,9010.27,811.97
15,31/10/2013,5425.5,2602.92,2904.35,767.47,,1173.58,,7112.87,9907.9,18827.03,1188.17,820.22,4405.9,19351.52,1194.26,1337.39,416.65,489.07,41038.65,6245.84,391.92,8234.29,1283.52,1015.12,6731.43,1631.05,776.2,3324.75,9033.92,808.15
16,01/11/2013,5411.1,,2888.68,766.99,,1170.18,,7136.64,9838.3,,1177.7,824.62,4392.43,19164.26,1183.03,,,491.5,41079.61,6238.26,391.2,8221.8,1278.42,1014.44,6734.74,1644.75,765.01,3308.38,9007.83,810.72
17,04/11/2013,5390.5,2656.66,2903.19,767.76,19280.74,1169.94,,7204.06,9873.8,19148.65,1162.77,812.84,4365.32,19310.69,,1352.17,416.83,493.57,41013.72,6303.54,393.15,8185.69,1281.41,1026.29,6763.62,1638.51,762.34,3319.14,9037.23,814.22
18,05/11/2013,5432.0,2642.67,2895.74,768.65,19262.73,1148.12,,7214.53,9795.7,19181.33,1138.35,810.8,4397.1,19091.93,1182.58,1353.27,415.0,491.08,40304.45,6321.51,391.25,8149.31,1274.07,1013.01,6746.84,1633.66,747.44,3294.2,9009.11,811.47
19,06/11/2013,5433.8,2665.66,2932.46,769.81,19184.77,1152.15,,7294.91,9837.1,19217.65,1156.57,805.77,4428.39,19262.51,1192.16,1363.37,414.83,499.03,40280.09,6409.72,393.97,8224.58,1283.48,1028.19,6741.69,1614.21,757.69,3320.43,9040.87,816.39
20,07/11/2013,5422.0,2659.91,2912.24,765.45,19167.88,1131.85,,7284.07,9740.4,18897.17,1171.06,804.59,4428.1,18863.41,1184.73,1378.99,416.12,495.41,40009.9,6402.13,393.22,8229.66,1284.69,1041.39,6697.22,1610.58,758.12,3315.01,9081.03,806.59
21,08/11/2013,5400.7,2633.86,2895.57,771.41,18928.25,1097.6,,7268.27,9747.2,18948.26,1169.04,805.27,4437.09,18961.71,1176.42,1400.28,414.61,493.79,39864.16,6323.05,394.07,8240.92,1281.86,1018.99,6708.42,1587.44,739.18,3301.08,9078.28,817.82
22,11/11/2013,5387.1,2646.97,2914.69,769.41,18676.21,1105.27,,7316.26,9789.5,18749.1,1165.99,803.06,4472.37,19107.85,1185.65,1415.17,414.45,498.27,39686.83,6390.65,395.45,8280.2,1287.71,1023.44,6728.37,1591.14,721.4,3324.43,9107.86,818.84
23,12/11/2013,5393.1,2636.57,2897.52,768.27,18680.36,1065.7,,7232.87,9707.6,18727.94,1129.86,813.15,4500.06,19005.02,1205.41,1398.53,415.51,493.06,39594.64,6383.2,393.38,8261.31,1279.86,1016.72,6726.79,1610.78,719.05,3304.03,9076.48,815.11
24,13/11/2013,5319.2,2617.98,2878.94,771.35,18438.65,1089.16,,7217.43,9675.2,18448.55,1132.02,818.23,4469.69,18733.02,1204.19,1384.98,415.4,491.56,39765.92,6322.29,391.18,8234.72,1274.7,998.84,6630.0,1569.24,723.27,3285.09,9054.83,821.12
