Company name;ISIN;Region ;Sector;Organization type;Target;Target value;Target year;Date published
(ACIP) Alexandria Company for Industrial Packages;;Africa;Containers and Packaging;Small or Medium Enterprise;Near-term;25%;2030;03/02/2022
4most;;Europe;Professional Services;Small or Medium Enterprise;Near-term;23%;2030;29/09/2022
A.G. Barr plc;GB00B6XZKY75;Europe;Food and Beverage Processing;Company;Near-term;60%;2030;25/08/2022
A.G. Barr plc;GB00B6XZKY75;Europe;Food and Beverage Processing;Company;Near-term;25%;2030;25/08/2022
A.G. Barr plc;GB00B6XZKY75;Europe;Food and Beverage Processing;Company;Long-term;90%;2035;25/08/2022
A.G. Barr plc;GB00B6XZKY75;Europe;Food and Beverage Processing;Company;Long-term;90%;2050;25/08/2022
A.G. Barr plc;GB00B6XZKY75;Europe;Food and Beverage Processing;Company;Net-zero;NA;2050;25/08/2022
A.S. Watson Holdings Limited;;Asia;Retailing;Company;Near-term;50%;2030;08/12/2022
A.S. Watson Holdings Limited;;Asia;Retailing;Company;Near-term;58%;2030;08/12/2022
A.S. Watson Holdings Limited;;Asia;Retailing;Company;Near-term;33%;2027;08/12/2022
A/S Vestfrost;;Europe;Consumer Durables, Household and Personal Products;Small or Medium Enterprise;Near-term;38%;2030;14/07/2022
A/S Vestfrost;;Europe;Consumer Durables, Household and Personal Products;Small or Medium Enterprise;Long-term;90%;2050;14/07/2022
A/S Vestfrost;;Europe;Consumer Durables, Household and Personal Products;Small or Medium Enterprise;Net-zero;NA;2050;14/07/2022
A1 Telekom Austria Group;AT0000720008;Europe;Telecommunication Services;Company;Near-term;50%;2030;17/09/2020
A1 Telekom Austria Group;AT0000720008;Europe;Telecommunication Services;Company;Near-term;50%;2030;17/09/2020
A2A S.p.A.;IT0001233417;Europe;Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy);Company;Near-term;46%;2030;26/03/2020
A2A S.p.A.;IT0001233417;Europe;Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy);Company;Near-term;100%;2024;26/03/2020
A2A S.p.A.;IT0001233417;Europe;Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy);Company;Near-term;20%;2030;26/03/2020
A2G S.A.C B.I.C;;Latin America and the Caribbean;Professional Services;Small or Medium Enterprise;Near-term;46%;2030;30/06/2022
Aakel Technologies Inc.;;Asia;Software and Services;Small or Medium Enterprise;Near-term;38%;2030;21/07/2022
Aardvark Certification Ltd;;Europe;Professional Services;Small or Medium Enterprise;Near-term;30%;2030;16/07/2020
Aasted ApS;;Europe;Electrical Equipment and Machinery;Small or Medium Enterprise;Near-term;46%;2030;24/03/2022
AB InBev;BE0974293251;Europe;Food and Beverage Processing;Company;Near-term;35%;2025;23/01/2020
AB InBev;BE0974293251;Europe;Food and Beverage Processing;Company;Near-term;100%;2025;23/01/2020
AB InBev;BE0974293251;Europe;Food and Beverage Processing;Company;Near-term;25%;2025;23/01/2020
AB Volvo;NO0003573016;Europe;Electrical Equipment and Machinery;Company;Near-term;50%;2030;24/06/2021
AB Volvo;NO0003573016;Europe;Electrical Equipment and Machinery;Company;Near-term;30%;2030;24/06/2021
AB Volvo;NO0003573016;Europe;Electrical Equipment and Machinery;Company;Near-term;38%;2034;24/06/2021
AB Volvo;NO0003573016;Europe;Electrical Equipment and Machinery;Company;Near-term;40%;2030;24/06/2021
AB Volvo;NO0003573016;Europe;Electrical Equipment and Machinery;Company;Near-term;40%;2030;24/06/2021
ABB;CH0012221716;Europe;Electrical Equipment and Machinery;Company;Near-term;80%;2030;03/06/2021
ABB;CH0012221716;Europe;Electrical Equipment and Machinery;Company;Near-term;15%;2030;03/06/2021
Abbott;US0028241000;Northern America;Healthcare Equipment and Supplies;Company;Near-term;30%;2030;29/09/2022
Abbott;US0028241000;Northern America;Healthcare Equipment and Supplies;Company;Near-term;82%;2026;29/09/2022
Abdi Ibrahim Pharmaceuticals;;Europe;Pharmaceuticals, Biotechnology and Life;Company;Near-term;60%;2030;16/06/2022
Abdi Ibrahim Pharmaceuticals;;Europe;Pharmaceuticals, Biotechnology and Life;Company;Near-term;45%;2030;16/06/2022
Abel & Cole Ltd.;;Europe;Retailing;Company;Near-term;42%;2030;15/09/2022
Abel & Cole Ltd.;;Europe;Retailing;Company;Near-term;54%;2030;15/09/2022
ABOUT YOU;DE000A3CNK42;Europe;Retailing;Company;Near-term;80%;2025;22/04/2021
ABOUT YOU;DE000A3CNK42;Europe;Retailing;Company;Near-term;100%;2025;22/04/2021
ABOUT YOU;DE000A3CNK42;Europe;Retailing;Company;Near-term;35%;2025;22/04/2021
ABOUT YOU;DE000A3CNK42;Europe;Retailing;Company;Near-term;90%;2025;22/04/2021
ABP Food Group;;Europe;Food and Beverage Processing;Company;Near-term;27%;2030;12/12/2019
ABP Food Group;;Europe;Food and Beverage Processing;Company;Near-term;17%;2030;12/12/2019
Abt Associates;;Northern America;Professional Services;Company;Near-term;39%;2027;21/07/2022
Abt Associates;;Northern America;Professional Services;Company;Near-term;39%;2027;21/07/2022
Abt Associates;;Northern America;Professional Services;Company;Near-term;39%;2027;21/07/2022
ACC Limited;INE012A01025;Asia;Construction Materials;Company;Near-term;21%;2030;12/08/2021
ACC Limited;INE012A01025;Asia;Construction Materials;Company;Near-term;48%;2030;12/08/2021
Accenture PLC;IE00B4BNMY34;Europe;Professional Services;Company;Near-term;11%;2025;17/12/2018
Accenture PLC;IE00B4BNMY34;Europe;Professional Services;Company;Near-term;65%;2025;17/12/2018
Accenture PLC;IE00B4BNMY34;Europe;Professional Services;Company;Near-term;40%;2025;17/12/2018
ACCIONA S.A.;ES0125220311;Europe;Construction and Engineering;Company;Near-term;60%;2030;19/12/2019
ACCIONA S.A.;ES0125220311;Europe;Construction and Engineering;Company;Near-term;47%;2030;19/12/2019
Accor S.A.;FR0000120404;Europe;Hotels, Restaurants and Leisure, and Tourism Services;Company;Near-term;46%;2030;11/03/2021
Accor S.A.;FR0000120404;Europe;Hotels, Restaurants and Leisure, and Tourism Services;Company;Near-term;28%;2030;11/03/2021
Aceros AZA S.A.;;Latin America and the Caribbean;Mining - Iron, Aluminum, Other Metals;Company;Near-term;50%;2030;05/05/2022
Acque Bresciane;;Europe;Water Utilities;Small or Medium Enterprise;Near-term;25%;2030;26/05/2022
Actiam NV;;Europe;Banks, Diverse Financials, Insurance;Financial Institution;Near-term;25%;2025;11/01/2022
Actiam NV;;Europe;Banks, Diverse Financials, Insurance;Financial Institution;Near-term;50%;2030;11/01/2022
Actiam NV;;Europe;Banks, Diverse Financials, Insurance;Financial Institution;Near-term;100%;2030;11/01/2022
Actiam NV;;Europe;Banks, Diverse Financials, Insurance;Financial Institution;Near-term;25%;2025;03/11/2022
Actiam NV;;Europe;Banks, Diverse Financials, Insurance;Financial Institution;Near-term;50%;2030;03/11/2022
Action Sustainability (Trading) Ltd;;Europe;Professional Services;Small or Medium Enterprise;Near-term;46%;2030;21/10/2021
Aderen Consulting SL;;Europe;Software and Services;Small or Medium Enterprise;Near-term;38%;2030;22/09/2022
Adidas AG;DE000A1EWWW0;Europe;Textiles, Apparel, Footwear and Luxury Goods;Company;Near-term;30%;2030;22/04/2021
Adidas AG;DE000A1EWWW0;Europe;Textiles, Apparel, Footwear and Luxury Goods;Company;Near-term;90%;2025;22/04/2021
ADIENT plc;IE00BD845X29;Northern America;Automobiles and Components;Company;Near-term;75%;2030;24/11/2022
ADIENT plc;IE00BD845X29;Northern America;Automobiles and Components;Company;Near-term;35%;2030;24/11/2022
AD-II ENGINEERING INC.;;Asia;Consumer Durables, Household and Personal Products;Small or Medium Enterprise;Near-term;38%;2030;28/07/2022
Adobe, Inc.;US00724F1012;Northern America;Software and Services;Company;Near-term;35%;2025;04/02/2021
Adobe, Inc.;US00724F1012;Northern America;Software and Services;Company;Near-term;30%;2025;04/02/2021
Adobe, Inc.;US00724F1012;Northern America;Software and Services;Company;Near-term;55%;2025;04/02/2021
Adva Optical Networking SE;DE0005103006;Europe;Technology Hardware and Equipment;Company;Near-term;30%;2032;04/02/2021
Adva Optical Networking SE;DE0005103006;Europe;Technology Hardware and Equipment;Company;Near-term;3%;2032;04/02/2021
Adva Optical Networking SE;DE0005103006;Europe;Technology Hardware and Equipment;Company;Near-term;67%;2032;04/02/2021
Adva Optical Networking SE;DE0005103006;Europe;Technology Hardware and Equipment;Company;Near-term;67%;2032;04/02/2021
Adva Optical Networking SE;DE0005103006;Europe;Technology Hardware and Equipment;Company;Near-term;67%;2032;04/02/2021
Advanced Chemistry Development, Inc. (ACD/Labs);;Northern America;Software and Services;Small or Medium Enterprise;Near-term;50%;2030;17/11/2022
Advanced Micro Devices, Inc;US0079031078;Northern America;Semiconductors and Semiconductors Equipment;Company;Near-term;20%;2020;27/06/2016
Advanced Micro Devices, Inc;US0079031078;Northern America;Semiconductors and Semiconductors Equipment;Company;Near-term;2500%;2020;27/06/2016
Advanced Micro Devices, Inc;US0079031078;Northern America;Semiconductors and Semiconductors Equipment;Company;Near-term;30%;2020;27/06/2016
